X,Y,stop_id,stop_name,trains,complex_id,multi_st,stop_id2,bcode,stop_lat,stop_lon
1012291.15598531,263271.208045454,101,Van Cortlandt Park - 242 St,1,bx062,,,36005,40.889248,-73.898583
1011660.70407638,261601.441833013,103,238 St,1,bx017,,,36005,40.884667,-73.90087
1010566.90828173,259483.047363842,104,231 St,1,bx015,,,36005,40.878856,-73.904834
1009186.66479808,257916.747223135,106,Marble Hill - 225 St,1,mn107,,,36061,40.874561,-73.909831
1007681.79814238,256050.919246479,107,215 St,1,mn036,,,36061,40.869444,-73.915279
1006703.51797892,254292.784646621,108,207 St,1,mn035,,,36061,40.864621,-73.918822
1004847.71898156,252800.989676762,109,Dyckman St,1,mn094,,,36061,40.860531,-73.925536
1003777.12459081,250866.922543208,110,191 St,1,mn033,,,36061,40.855225,-73.929412
1002621.26300514,248782.003892255,111,181 St,1,mn030,,,36061,40.849505,-73.933596
1000814.97185066,245520.243242977,112,168 St - Washington Hts,1,mn027,x,,36061,40.840556,-73.940133
999500.221510445,243145.723024533,113,157 St,1,mn025,,,36061,40.834041,-73.94489
997988.091601498,240415.936021894,114,145 St,1,mn020,,,36061,40.826551,-73.95036
997071.249195047,238760.253287086,115,137 St - City College,1,mn016,,,36061,40.822008,-73.953676
995772.63436368,236418.013113729,116,125 St,1,mn010,,,36061,40.815581,-73.958372
994185.528659202,233553.996731709,117,116 St - Columbia University,1,mn009,,,36061,40.807722,-73.96411
993428.355141973,232185.619152073,118,Cathedral Pkwy,1,mn084,,,36061,40.803967,-73.966847
993004.817999962,230538.303614737,119,103 St,1,mn002,,,36061,40.799446,-73.968379
991913.490005273,228524.255813056,120,96 St,1 2 3,mn072,,,36061,40.793919,-73.972323
990835.524485343,226602.074791367,121,86 St,1,mn069,,,36061,40.788644,-73.976218
989811.619925817,224885.804364317,122,79 St,1,mn066,,,36061,40.783934,-73.979917
989243.490115091,222888.766620626,123,72 St,1 2 3,mn063,,,36061,40.778453,-73.98197
989177.668926926,221062.348745828,124,66 St - Lincoln Center,1,mn060,,,36061,40.77344,-73.982209
989255.612340731,219170.38168695,125,59 St - Columbus Circle,1,mn059,x,,36061,40.768247,-73.981929
988724.216068241,216795.190943647,126,50 St,1,mn055,,,36061,40.761728,-73.983849
987714.521089984,214449.452072026,127,Times Sq - 42 St,1 2 3,mn115,x,,36061,40.75529,-73.987495
986727.848796731,212657.909037018,128,34 St - Penn Station,1 2 3,mn048,,,36061,40.750373,-73.991057
986088.455344812,211507.291243823,129,28 St,1,mn042,,,36061,40.747215,-73.993365
985453.434389827,210365.434999201,130,23 St,1,mn037,,,36061,40.744081,-73.995657
984839.967479535,209257.479244616,131,18 St,1,mn029,,,36061,40.74104,-73.997871
984194.298175781,208086.510156824,132,14 St,1 2 3,mn018,x,,36061,40.737826,-74.000201
983444.625869608,206482.007637726,133,Christopher St - Sheridan Sq,1,mn089,,,36061,40.733422,-74.002906
982762.464421726,204598.08304153,134,Houston St,1,mn102,,,36061,40.728251,-74.005367
982510.10489441,202631.805565803,135,Canal St,1,mn081,,,36061,40.722854,-74.006277
982341.197487252,201343.544722803,136,Franklin St,1,mn097,,,36061,40.719318,-74.006886
981681.312355642,199944.57616911,137,Chambers St,1 2 3,mn087,,,36061,40.715478,-74.009266
980871.101217333,198617.419773231,138,Cortlandt St (Closed),1,mn091,,,36061,40.711835,-74.012188
980428.669052081,197042.850232688,139,Rector St,1,mn109,,,36061,40.707513,-74.013783
980588.58417614,194819.684223008,140,South Ferry Loop,1,mn112,x,,36061,40.701411,-74.013205
1025543.98793348,268346.145574087,201,Wakefield - 241 St,2,bx063,,,36005,40.903125,-73.85062
1024508.57044081,266615.235548845,204,Nereid Av,2 5,bx052,,,36005,40.898379,-73.854376
1023655.46251467,264724.357348645,205,233 St,2 5,bx016,,,36005,40.893193,-73.857473
1022865.53037925,262839.077004308,206,225 St,2 5,bx014,,,36005,40.888022,-73.860341
1022234.15385294,261334.444152563,207,219 St,2 5,bx013,,,36005,40.883895,-73.862633
1021235.7003795,259130.461091492,208,Gun Hill Rd,2 5,bx039,,,36005,40.87785,-73.866256
1020988.18926816,256764.06044548,209,Burke Av,2 5,bx027,,,36005,40.871356,-73.867164
1020939.44633809,254616.568981808,210,Allerton Av,2 5,bx020,,,36005,40.865462,-73.867352
1020871.25620136,251603.381153005,211,Pelham Pkwy,2 5,bx056,,,36005,40.857192,-73.867615
1020642.91260586,248555.709097787,212,Bronx Park East,2 5,bx024,,,36005,40.848828,-73.868457
1019254.67710495,246027.34390071,213,E 180 St,2 5,bx033,,,36005,40.841894,-73.873488
1017440.10920358,245442.215034225,214,West Farms Sq - E Tremont Av,2 5,bx064,,,36005,40.840295,-73.880049
1015315.09629956,244343.835166401,215,174 St,2 5,bx008,,,36005,40.837288,-73.887734
1014175.28991797,241684.560915461,216,Freeman St,2 5,bx038,,,36005,40.829993,-73.891865
1013846.11175548,239527.282690411,217,Simpson St,2 5,bx059,,,36005,40.824073,-73.893064
1012830.64480439,238836.739483842,218,Intervale Av,2 5,bx042,,,36005,40.822181,-73.896736
1011438.43280401,237889.320881522,219,Prospect Av,2 5,bx058,,,36005,40.819585,-73.90177
1009768.67887102,236759.885314754,220,Jackson Av,2 5,bx043,,,36005,40.81649,-73.907807
1007014.68713217,236618.331189253,221,3 Av - 149 St,2 5,bx019,,,36005,40.816109,-73.917757
1004533.60070786,237454.466081035,222,149 St - Grand Concourse,2,bx002,x,,36005,40.81841,-73.926718
1000645.20207319,235928.236075009,224,135 St,2 3,mn014,,,36061,40.814229,-73.94077
999338.763149051,233568.314378669,225,125 St,2 3,mn011,,,36061,40.807754,-73.945495
998196.629515164,231506.950081368,226,116 St,2 3,mn006,,,36061,40.802098,-73.949625
997588.982330086,230405.223377157,227,Central Park North (110 St),2 3,mn086,,,36061,40.799075,-73.951822
981807.356900277,199060.333236215,228,Park Pl,2 3,mn088,x,,36061,40.713051,-74.008811
982428.245018899,197735.938181296,229,Fulton St,2 3,mn098,x,,36061,40.709416,-74.006571
981727.002633855,196790.564235658,230,Wall St,2 3,mn116,,,36061,40.706821,-74.0091
986167.192510462,193382.203193174,231,Clark St,2 3,bk061,,,36047,40.697466,-73.993086
987023.644922364,191834.978398112,232,Borough Hall,2 3,bk068,x,,36047,40.693219,-73.989998
988391.776458708,190860.956409216,233,Hoyt St,2 3,bk097,,,36047,40.690545,-73.985065
989660.148024675,190023.612808216,234,Nevins St,2 3 4 5,bk123,,,36047,40.688246,-73.980492
990444.242839607,188607.652786395,235,Atlantic Av - Barclays Ctr,2 3 4 5,bk026,x,,36047,40.684359,-73.977666
991156.832641237,187321.763701644,236,Bergen St,2 3,bk046,,,36047,40.680829,-73.975098
992281.371238045,185284.054329528,237,Grand Army Plaza,2 3,bk089,,,36047,40.675235,-73.971046
994132.279888293,184101.397407441,238,Eastern Pkwy - Brooklyn Museum,2 3,bk076,,,36047,40.671987,-73.964375
